recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,history_discount,history_bogo,recency_history,recency_bin_0,recency_bin_1,recency_bin_2,treatment
3,547.86,0,1,Urban,1,Multichannel,Buy One Get One,0,0.0,547.86,1643.58,0.0,1.0,0.0,1
6,171.21,0,1,Urban,0,Web,Discount,0,0.0,171.21,1027.26,0.0,1.0,0.0,1
4,588.45,0,1,Rural,1,Web,Discount,0,0.0,588.45,2353.8,0.0,1.0,0.0,1
9,29.99,1,0,Surburban,1,Phone,Discount,0,29.99,0.0,269.90999999999997,0.0,0.0,1.0,1
1,55.51,1,0,Surburban,0,Web,Buy One Get One,0,55.51,0.0,55.51,1.0,0.0,0.0,1
2,258.63,1,0,Urban,1,Multichannel,No Offer,0,258.63,0.0,517.26,1.0,0.0,0.0,0
10,29.99,0,1,Urban,0,Web,Discount,0,0.0,29.99,299.9,0.0,0.0,1.0,1
5,357.55,1,0,Urban,0,Phone,No Offer,0,357.55,0.0,1787.75,0.0,1.0,0.0,0
9,129.57,1,0,Rural,1,Phone,Buy One Get One,0,129.57,0.0,1166.1299999999999,0.0,0.0,1.0,1
1,29.99,1,0,Rural,1,Web,No Offer,0,29.99,0.0,29.99,1.0,0.0,0.0,0
9,104.84,0,1,Urban,0,Web,Discount,1,0.0,104.84,943.5600000000001,0.0,0.0,1.0,1
10,146.85,1,0,Surburban,1,Web,Buy One Get One,0,146.85,0.0,1468.5,0.0,0.0,1.0,1
7,609.83,0,1,Urban,1,Multichannel,No Offer,0,0.0,609.83,4268.81,0.0,1.0,0.0,0
5,163.64,0,1,Surburban,1,Phone,Discount,0,0.0,163.64,818.1999999999999,0.0,1.0,0.0,1
11,98.07,1,0,Surburban,1,Phone,Buy One Get One,0,98.07,0.0,1078.77,0.0,0.0,1.0,1
6,182.62,1,0,Urban,1,Web,No Offer,0,182.62,0.0,1095.72,0.0,1.0,0.0,0
5,54.85,1,0,Urban,1,Web,No Offer,0,54.85,0.0,274.25,0.0,1.0,0.0,0
6,309.53,1,1,Urban,0,Phone,No Offer,1,309.53,309.53,1857.1799999999998,0.0,1.0,0.0,0
3,29.99,0,1,Urban,0,Phone,No Offer,0,0.0,29.99,89.97,0.0,1.0,0.0,0
4,391.95,1,0,Surburban,0,Web,Buy One Get One,1,391.95,0.0,1567.8,0.0,1.0,0.0,1
1,260.39,1,1,Urban,0,Phone,No Offer,1,260.39,260.39,260.39,1.0,0.0,0.0,0
7,67.52,0,1,Rural,0,Web,No Offer,0,0.0,67.52,472.64,0.0,1.0,0.0,0
10,440.83,1,0,Surburban,0,Phone,Buy One Get One,0,440.83,0.0,4408.3,0.0,0.0,1.0,1
6,229.63,1,0,Surburban,0,Multichannel,Buy One Get One,0,229.63,0.0,1377.78,0.0,1.0,0.0,1
1,766.19,1,1,Rural,1,Multichannel,No Offer,0,766.19,766.19,766.19,1.0,0.0,0.0,0
2,966.6,1,1,Urban,1,Multichannel,Discount,0,966.6,966.6,1933.2,1.0,0.0,0.0,1
12,29.99,0,1,Surburban,0,Web,Buy One Get One,0,0.0,29.99,359.88,0.0,0.0,1.0,1
7,268.01,1,0,Urban,0,Web,No Offer,0,268.01,0.0,1876.07,0.0,1.0,0.0,0
3,29.99,1,0,Urban,0,Phone,Buy One Get One,0,29.99,0.0,89.97,0.0,1.0,0.0,1
9,574.9,0,1,Surburban,1,Phone,Discount,0,0.0,574.9,5174.099999999999,0.0,0.0,1.0,1
10,29.99,0,1,Urban,1,Web,Buy One Get One,0,0.0,29.99,299.9,0.0,0.0,1.0,1
10,45.18,0,1,Urban,1,Web,Buy One Get One,0,0.0,45.18,451.8,0.0,0.0,1.0,1
5,45.83,0,1,Surburban,1,Web,Discount,1,0.0,45.83,229.14999999999998,0.0,1.0,0.0,1
4,310.89,1,1,Rural,0,Multichannel,No Offer,1,310.89,310.89,1243.56,0.0,1.0,0.0,0
9,146.75,1,0,Surburban,0,Web,No Offer,0,146.75,0.0,1320.75,0.0,0.0,1.0,0
10,55.18,0,1,Surburban,0,Phone,Buy One Get One,0,0.0,55.18,551.8,0.0,0.0,1.0,1
10,29.99,1,0,Surburban,1,Phone,Buy One Get One,0,29.99,0.0,299.9,0.0,0.0,1.0,1
1,162.22,1,0,Surburban,1,Web,Discount,0,162.22,0.0,162.22,1.0,0.0,0.0,1
1,1248.24,0,1,Urban,1,Phone,Discount,0,0.0,1248.24,1248.24,1.0,0.0,0.0,1
8,169.18,1,0,Urban,0,Web,No Offer,0,169.18,0.0,1353.44,0.0,0.0,1.0,0
1,917.26,1,1,Surburban,1,Phone,Discount,1,917.26,917.26,917.26,1.0,0.0,0.0,1
12,657.42,0,1,Rural,1,Web,Buy One Get One,0,0.0,657.42,7889.039999999999,0.0,0.0,1.0,1
11,120.57,1,0,Urban,1,Phone,No Offer,0,120.57,0.0,1326.27,0.0,0.0,1.0,0
10,48.11,1,0,Urban,0,Phone,Buy One Get One,0,48.11,0.0,481.1,0.0,0.0,1.0,1
11,29.99,1,0,Surburban,1,Phone,Buy One Get One,0,29.99,0.0,329.89,0.0,0.0,1.0,1
8,52.13,1,0,Surburban,0,Phone,Discount,0,52.13,0.0,417.04,0.0,0.0,1.0,1
12,198.69,1,0,Surburban,0,Phone,No Offer,0,198.69,0.0,2384.2799999999997,0.0,0.0,1.0,0
3,332.5,1,1,Urban,0,Multichannel,No Offer,0,332.5,332.5,997.5,0.0,1.0,0.0,0
10,29.99,1,0,Surburban,1,Phone,Buy One Get One,0,29.99,0.0,299.9,0.0,0.0,1.0,1
1,59.13,1,0,Urban,1,Web,Discount,0,59.13,0.0,59.13,1.0,0.0,0.0,1
5,444.1,0,1,Surburban,1,Phone,No Offer,0,0.0,444.1,2220.5,0.0,1.0,0.0,0
4,127.75,1,0,Surburban,1,Web,Discount,0,127.75,0.0,511.0,0.0,1.0,0.0,1
10,29.99,0,1,Urban,0,Web,Discount,0,0.0,29.99,299.9,0.0,0.0,1.0,1
7,29.99,0,1,Urban,0,Web,Buy One Get One,1,0.0,29.99,209.92999999999998,0.0,1.0,0.0,1
1,383.24,0,1,Urban,0,Web,Discount,0,0.0,383.24,383.24,1.0,0.0,0.0,1
7,349.93,1,1,Urban,1,Phone,Buy One Get One,0,349.93,349.93,2449.51,0.0,1.0,0.0,1
1,610.89,1,0,Urban,1,Multichannel,Discount,0,610.89,0.0,610.89,1.0,0.0,0.0,1
1,29.99,0,1,Surburban,0,Web,Buy One Get One,0,0.0,29.99,29.99,1.0,0.0,0.0,1
1,29.99,0,1,Surburban,0,Phone,Discount,1,0.0,29.99,29.99,1.0,0.0,0.0,1
5,254.14,0,1,Surburban,1,Multichannel,Discount,0,0.0,254.14,1270.6999999999998,0.0,1.0,0.0,1
3,29.99,0,1,Urban,0,Phone,Buy One Get One,1,0.0,29.99,89.97,0.0,1.0,0.0,1
2,809.67,1,0,Urban,1,Phone,Buy One Get One,1,809.67,0.0,1619.34,1.0,0.0,0.0,1
1,943.15,0,1,Urban,1,Multichannel,No Offer,1,0.0,943.15,943.15,1.0,0.0,0.0,0
