recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,history_discount,history_bogo,recency_history,recency_bin_0,recency_bin_1,recency_bin_2,treatment,uplift_score
2,29.99,1,0,Urban,0,Phone,No Offer,0,29.99,0.0,59.98,1.0,0.0,0.0,0,0.0
9,310.79,0,1,Urban,0,Phone,Discount,0,0.0,310.79,2797.11,0.0,0.0,1.0,1,0.0
2,89.31,1,0,Surburban,1,Web,Discount,0,89.31,0.0,178.62,1.0,0.0,0.0,1,0.0
2,457.22,0,1,Urban,0,Multichannel,Buy One Get One,0,0.0,457.22,914.44,1.0,0.0,0.0,1,0.0
2,29.99,0,1,Surburban,0,Phone,No Offer,0,0.0,29.99,59.98,1.0,0.0,0.0,0,0.0
8,405.03,1,0,Urban,0,Web,No Offer,1,405.03,0.0,3240.24,0.0,0.0,1.0,0,0.0
10,460.7,1,0,Urban,0,Multichannel,Buy One Get One,0,460.7,0.0,4607.0,0.0,0.0,1.0,1,0.0
3,236.2,1,1,Urban,0,Web,No Offer,0,236.2,236.2,708.5999999999999,0.0,1.0,0.0,0,0.0
9,55.08,1,0,Urban,1,Web,Buy One Get One,0,55.08,0.0,495.72,0.0,0.0,1.0,1,0.0
4,143.33,1,0,Urban,0,Phone,Discount,0,143.33,0.0,573.32,0.0,1.0,0.0,1,0.0
10,453.87,0,1,Urban,1,Multichannel,No Offer,0,0.0,453.87,4538.7,0.0,0.0,1.0,0,0.0
1,417.83,0,1,Surburban,0,Phone,Discount,0,0.0,417.83,417.83,1.0,0.0,0.0,1,0.0
4,88.41,1,0,Urban,1,Phone,Buy One Get One,0,88.41,0.0,353.64,0.0,1.0,0.0,1,0.0
3,150.78,0,1,Surburban,0,Phone,Buy One Get One,1,0.0,150.78,452.34,0.0,1.0,0.0,1,0.0
6,84.64,0,1,Urban,1,Web,No Offer,0,0.0,84.64,507.84,0.0,1.0,0.0,0,0.0
10,116.15,1,0,Surburban,0,Web,No Offer,0,116.15,0.0,1161.5,0.0,0.0,1.0,0,0.0
10,46.09,1,0,Urban,1,Phone,Buy One Get One,0,46.09,0.0,460.9,0.0,0.0,1.0,1,0.0
7,29.99,1,0,Surburban,1,Web,Buy One Get One,0,29.99,0.0,209.93,0.0,1.0,0.0,1,0.0
2,613.42,1,1,Urban,1,Web,No Offer,0,613.42,613.42,1226.84,1.0,0.0,0.0,0,0.0
12,239.61,0,1,Urban,1,Web,No Offer,0,0.0,239.61,2875.32,0.0,0.0,1.0,0,0.0
8,462.43,1,1,Surburban,0,Web,Buy One Get One,0,462.43,462.43,3699.44,0.0,0.0,1.0,1,0.0
3,687.51,1,0,Urban,1,Phone,Buy One Get One,0,687.51,0.0,2062.5299999999997,0.0,1.0,0.0,1,0.0
2,147.0,0,1,Rural,1,Phone,Buy One Get One,0,0.0,147.0,294.0,1.0,0.0,0.0,1,0.0
1,335.64,1,1,Urban,1,Phone,Buy One Get One,1,335.64,335.64,335.64,1.0,0.0,0.0,1,0.0
11,309.18,1,1,Urban,0,Web,Discount,0,309.18,309.18,3400.98,0.0,0.0,1.0,1,0.0
1,169.66,0,1,Rural,0,Web,Buy One Get One,1,0.0,169.66,169.66,1.0,0.0,0.0,1,0.0
5,413.5,1,0,Urban,0,Multichannel,Buy One Get One,0,413.5,0.0,2067.5,0.0,1.0,0.0,1,0.0
4,171.26,0,1,Surburban,1,Web,Buy One Get One,0,0.0,171.26,685.04,0.0,1.0,0.0,1,0.0
2,172.18,1,0,Surburban,0,Phone,Discount,0,172.18,0.0,344.36,1.0,0.0,0.0,1,0.0
11,151.73,0,1,Urban,0,Web,No Offer,0,0.0,151.73,1669.03,0.0,0.0,1.0,0,0.0
7,29.99,1,0,Urban,1,Phone,Discount,0,29.99,0.0,209.93,0.0,1.0,0.0,1,0.0
10,222.71,0,1,Urban,1,Multichannel,No Offer,0,0.0,222.71,2227.1,0.0,0.0,1.0,0,0.0
8,526.26,1,1,Surburban,1,Multichannel,No Offer,0,526.26,526.26,4210.08,0.0,0.0,1.0,0,0.0
6,356.2,1,1,Rural,0,Web,Buy One Get One,1,356.2,356.2,2137.2,0.0,1.0,0.0,1,0.0
7,35.68,1,0,Rural,1,Phone,No Offer,0,35.68,0.0,249.76,0.0,1.0,0.0,0,0.0
2,29.99,1,0,Urban,1,Web,No Offer,0,29.99,0.0,59.98,1.0,0.0,0.0,0,0.0
9,168.02,0,1,Surburban,0,Phone,No Offer,0,0.0,168.02,1512.18,0.0,0.0,1.0,0,0.0
7,133.58,1,0,Surburban,0,Phone,No Offer,0,133.58,0.0,935.06,0.0,1.0,0.0,0,0.0
8,61.46,1,0,Urban,1,Web,Discount,0,61.46,0.0,491.68,0.0,0.0,1.0,1,0.0
3,362.58,1,0,Surburban,0,Phone,Buy One Get One,0,362.58,0.0,1087.74,0.0,1.0,0.0,1,0.0
2,29.99,0,1,Urban,1,Web,No Offer,1,0.0,29.99,59.98,1.0,0.0,0.0,0,0.0
2,569.27,0,1,Urban,1,Web,Discount,0,0.0,569.27,1138.54,1.0,0.0,0.0,1,0.0
1,157.35,0,1,Surburban,0,Phone,No Offer,0,0.0,157.35,157.35,1.0,0.0,0.0,0,0.0
3,230.61,1,1,Surburban,1,Phone,No Offer,0,230.61,230.61,691.83,0.0,1.0,0.0,0,0.0
9,126.04,0,1,Urban,1,Web,No Offer,0,0.0,126.04,1134.36,0.0,0.0,1.0,0,0.0
12,134.01,0,1,Urban,0,Web,Buy One Get One,0,0.0,134.01,1608.12,0.0,0.0,1.0,1,0.0
10,40.52,0,1,Surburban,0,Web,Buy One Get One,0,0.0,40.52,405.2000000000001,0.0,0.0,1.0,1,0.0
11,33.39,0,1,Rural,1,Phone,Buy One Get One,0,0.0,33.39,367.29,0.0,0.0,1.0,1,0.0
9,214.18,1,0,Urban,0,Web,No Offer,0,214.18,0.0,1927.62,0.0,0.0,1.0,0,0.0
1,81.68,0,1,Urban,0,Phone,Buy One Get One,0,0.0,81.68,81.68,1.0,0.0,0.0,1,0.0
9,86.21,0,1,Rural,0,Web,Discount,0,0.0,86.21,775.89,0.0,0.0,1.0,1,0.0
9,407.24,0,1,Surburban,0,Phone,Buy One Get One,0,0.0,407.24,3665.16,0.0,0.0,1.0,1,0.0
8,105.25,0,1,Urban,1,Phone,Buy One Get One,0,0.0,105.25,842.0,0.0,0.0,1.0,1,0.0
4,929.49,0,1,Urban,1,Phone,Discount,0,0.0,929.49,3717.96,0.0,1.0,0.0,1,0.0
9,995.17,1,0,Urban,1,Web,Buy One Get One,0,995.17,0.0,8956.529999999999,0.0,0.0,1.0,1,0.0
2,199.97,0,1,Surburban,0,Phone,Discount,0,0.0,199.97,399.94,1.0,0.0,0.0,1,0.0
2,533.13,0,1,Surburban,1,Phone,Discount,1,0.0,533.13,1066.26,1.0,0.0,0.0,1,0.0
2,264.08,1,0,Rural,0,Multichannel,Discount,1,264.08,0.0,528.16,1.0,0.0,0.0,1,0.0
2,123.8,1,0,Rural,0,Phone,Buy One Get One,0,123.8,0.0,247.6,1.0,0.0,0.0,1,0.0
9,295.99,1,1,Surburban,0,Phone,Discount,0,295.99,295.99,2663.91,0.0,0.0,1.0,1,0.0
7,140.97,0,1,Urban,0,Phone,No Offer,0,0.0,140.97,986.79,0.0,1.0,0.0,0,0.0
9,83.99,1,0,Surburban,1,Phone,Discount,0,83.99,0.0,755.91,0.0,0.0,1.0,1,0.0
1,29.99,0,1,Rural,0,Web,No Offer,0,0.0,29.99,29.99,1.0,0.0,0.0,0,0.0
10,145.73,0,1,Urban,1,Phone,No Offer,0,0.0,145.73,1457.3,0.0,0.0,1.0,0,0.0
6,29.99,1,0,Urban,1,Phone,No Offer,0,29.99,0.0,179.94,0.0,1.0,0.0,0,0.0
10,438.73,0,1,Urban,0,Phone,Discount,1,0.0,438.73,4387.3,0.0,0.0,1.0,1,0.0
4,974.25,1,0,Urban,1,Multichannel,Buy One Get One,0,974.25,0.0,3897.0,0.0,1.0,0.0,1,0.0
10,116.21,0,1,Surburban,0,Web,No Offer,0,0.0,116.21,1162.1,0.0,0.0,1.0,0,0.0
10,718.58,0,1,Urban,1,Web,Buy One Get One,0,0.0,718.58,7185.8,0.0,0.0,1.0,1,0.0
12,113.19,1,0,Surburban,1,Web,No Offer,0,113.19,0.0,1358.28,0.0,0.0,1.0,0,0.0
3,142.47,0,1,Surburban,1,Phone,Discount,0,0.0,142.47,427.41,0.0,1.0,0.0,1,0.0
11,213.08,0,1,Surburban,1,Web,No Offer,1,0.0,213.08,2343.88,0.0,0.0,1.0,0,0.0
1,428.99,1,0,Surburban,0,Multichannel,No Offer,0,428.99,0.0,428.99,1.0,0.0,0.0,0,0.0
2,395.8,1,0,Urban,0,Web,Buy One Get One,1,395.8,0.0,791.6,1.0,0.0,0.0,1,0.0
9,29.99,0,1,Urban,1,Phone,Buy One Get One,0,0.0,29.99,269.90999999999997,0.0,0.0,1.0,1,0.0
2,285.27,0,1,Surburban,1,Phone,Buy One Get One,0,0.0,285.27,570.54,1.0,0.0,0.0,1,0.0
1,380.93,0,1,Urban,0,Web,No Offer,0,0.0,380.93,380.93,1.0,0.0,0.0,0,0.0
11,287.49,1,0,Urban,1,Web,Discount,0,287.49,0.0,3162.3900000000003,0.0,0.0,1.0,1,0.0
3,894.47,1,1,Urban,1,Web,Buy One Get One,0,894.47,894.47,2683.41,0.0,1.0,0.0,1,0.0
4,879.55,0,1,Surburban,1,Multichannel,No Offer,0,0.0,879.55,3518.2,0.0,1.0,0.0,0,0.0
6,250.11,0,1,Surburban,0,Phone,No Offer,1,0.0,250.11,1500.66,0.0,1.0,0.0,0,0.0
10,457.72,1,0,Surburban,0,Multichannel,Buy One Get One,0,457.72,0.0,4577.200000000001,0.0,0.0,1.0,1,0.0
11,29.99,0,1,Surburban,0,Phone,Discount,1,0.0,29.99,329.89,0.0,0.0,1.0,1,0.0
3,53.02,1,0,Urban,0,Phone,Discount,0,53.02,0.0,159.06,0.0,1.0,0.0,1,0.0
4,257.6,0,1,Urban,1,Multichannel,No Offer,0,0.0,257.6,1030.4,0.0,1.0,0.0,0,0.0
10,182.25,0,1,Urban,1,Phone,No Offer,0,0.0,182.25,1822.5,0.0,0.0,1.0,0,0.0
